SYMBOL , SERIES , PRICE
SCILAL,EQ,
SELAN,EQ,
SELMC,EQ,85.17
SENCO,EQ,1051.49
SEQUENT,EQ,138.40
SERVOTECH,EQ,144.90
SHANKARA,EQ,654.00
SHIVALIK,EQ,620.00
SHIVAMAUTO,EQ,60.48
SHOPERSTOP,EQ,760.60
SHREDIGCEM,EQ,100.88
SHRIRAMFIN,EQ,2955.00
SILVRETF,EQ,83.14
SIMPLEXINF,EQ,162.94
SKMEGGPROD,EQ,249.35
SONACOMS,EQ,681.55
SRHHYPOLTD,EQ,594.90
SRM,EQ,294.45
STYRENIX,EQ,2667.90
SUBEXLTD,EQ,30.98
SUMICHEM,EQ,529.90
SUNPHARMA,EQ,
SUVIDHAA,EQ,7.25
SUZLON,EQ,77.31
TANLA,EQ,942.95
TARACHAND,EQ,468.00
TATAELXSI,EQ,6885.41
TATAINVEST,EQ,6080.00
TATAMOTORS,EQ,1070.79
TATASTEEL,EQ,152.50
TATATECH,EQ,995.81
TBZ,EQ,169.70
TCIEXP,EQ,1176.66
TRENT,EQ,
TRITURBINE,EQ,706.00
TVSMOTOR,EQ,
ULTRACEMCO,EQ,11349.95
UNICHEMLAB,EQ,561.84
VEDL,EQ,430.15
VENKEYS,EQ,2353.90
VIDHIING,EQ,528.00
VIJAYA,EQ,837.15
VIKASECO,EQ,3.60
VIMTALABS,EQ,595.70
VIPULLTD,EQ,37.98
VISAKAIND,EQ,126.00
VISHNU,EQ,
VLEGOV,EQ,103.85
VPRPL,EQ,283.90
VRAJ,EQ,
VSSL,EQ,275.00
WALCHANNAG,EQ,414.30
WANBURY,EQ,231.99
WELSPUNLIV,EQ,
XCHANGING,EQ,
ZAGGLE,EQ,361.95
ZEEL,EQ,
ZENSARTECH,EQ,
ZENTEC,EQ,1769.65
ZOMATO,EQ,268.99
